# ll                            TT_ab/TT                EE_ab/EE
8.700000000000000000e+01 9.992408438376585433e-01 1.000283514512590122e+00
8.800000000000000000e+01 9.992482150412455022e-01 1.000261829031488858e+00
8.900000000000000000e+01 9.992562483362511516e-01 1.000237250795004806e+00
9.000000000000000000e+01 9.992579514761805726e-01 1.000210434167515094e+00
9.100000000000000000e+01 9.992652173952250028e-01 1.000185195128774351e+00
9.200000000000000000e+01 9.992746922779566221e-01 1.000160150337845000e+00
9.300000000000000000e+01 9.992782340780683725e-01 1.000133211657918020e+00
9.400000000000000000e+01 9.992847567898757166e-01 1.000104091839360443e+00
9.500000000000000000e+01 9.992844696453707654e-01 1.000076345533988942e+00
9.600000000000000000e+01 9.992906993442969288e-01 1.000049598489013425e+00
9.700000000000000000e+01 9.993037908744296649e-01 1.000021448626403409e+00
9.800000000000000000e+01 9.993013901571476953e-01 9.999919858807714279e-01
9.900000000000000000e+01 9.993077442943909539e-01 9.999601725881918091e-01
1.000000000000000000e+02 9.993125841221686123e-01 9.999367496431710300e-01
1.010000000000000000e+02 9.993236563142898765e-01 9.999073644561007335e-01
1.020000000000000000e+02 9.993283337134531985e-01 9.998720026441901831e-01
1.030000000000000000e+02 9.993253970031803490e-01 9.998478103525382243e-01
1.040000000000000000e+02 9.993315076383689766e-01 9.998161222616757104e-01
1.050000000000000000e+02 9.993363699737738415e-01 9.997877462095513534e-01
1.060000000000000000e+02 9.993366353915675848e-01 9.997560230238022871e-01
1.070000000000000000e+02 9.993386581288106196e-01 9.997194761113846750e-01
1.080000000000000000e+02 9.993468162619708606e-01 9.996871406656177017e-01
1.090000000000000000e+02 9.993464868051431527e-01 9.996489223023848902e-01
1.100000000000000000e+02 9.993469545165470924e-01 9.996178325089435379e-01
1.110000000000000000e+02 9.993525506664615587e-01 9.995868405943559853e-01
1.120000000000000000e+02 9.993545968402341995e-01 9.995532187481942499e-01
1.130000000000000000e+02 9.993566198535710488e-01 9.995138187423471265e-01
1.140000000000000000e+02 9.993620705425015904e-01 9.994818785267024497e-01
1.150000000000000000e+02 9.993624894612607168e-01 9.994497981369004913e-01
1.160000000000000000e+02 9.993618943913110675e-01 9.993979767371437006e-01
1.170000000000000000e+02 9.993702412084722875e-01 9.993716456911148072e-01
1.180000000000000000e+02 9.993700214127186898e-01 9.993522648427871635e-01
1.190000000000000000e+02 9.993688305867656219e-01 9.992911925481599011e-01
1.200000000000000000e+02 9.993709628616250784e-01 9.992618052318926747e-01
1.210000000000000000e+02 9.993699613256887826e-01 9.992347230027172067e-01
1.220000000000000000e+02 9.993691862528086833e-01 9.991705489971666188e-01
1.230000000000000000e+02 9.993709899264892060e-01 9.991397713548716419e-01
1.240000000000000000e+02 9.993707302234832168e-01 9.991002809877727042e-01
1.250000000000000000e+02 9.993678159157308727e-01 9.990643082353605209e-01
1.260000000000000000e+02 9.993687524015882895e-01 9.990231393450603736e-01
1.270000000000000000e+02 9.993659739528750752e-01 9.989727956023732869e-01
1.280000000000000000e+02 9.993656057534647807e-01 9.989354622131598749e-01
1.290000000000000000e+02 9.993681025289408160e-01 9.988850249680055748e-01
1.300000000000000000e+02 9.993653459534658223e-01 9.988450025888782058e-01
1.310000000000000000e+02 9.993637401517998509e-01 9.988048565798108847e-01
1.320000000000000000e+02 9.993627568415511808e-01 9.987543419481964557e-01
1.330000000000000000e+02 9.993585518863410400e-01 9.987154438624754604e-01
1.340000000000000000e+02 9.993581033776935962e-01 9.986679927993146189e-01
1.350000000000000000e+02 9.993546994101603076e-01 9.986127705247039854e-01
1.360000000000000000e+02 9.993510627856326822e-01 9.985651679639625522e-01
1.370000000000000000e+02 9.993515255238586414e-01 9.985222944998387584e-01
1.380000000000000000e+02 9.993445136789756988e-01 9.984794082977338503e-01
1.390000000000000000e+02 9.993382748585387665e-01 9.984293108061502720e-01
1.400000000000000000e+02 9.993365908590958746e-01 9.983743446321774462e-01
1.410000000000000000e+02 9.993334306687677859e-01 9.983120487359458117e-01
1.420000000000000000e+02 9.993316634782839492e-01 9.982793301146767329e-01
1.430000000000000000e+02 9.993261230978213172e-01 9.982223319899072855e-01
1.440000000000000000e+02 9.993176450889638129e-01 9.981676705616336909e-01
1.450000000000000000e+02 9.993167594257349462e-01 9.981207170798269690e-01
1.460000000000000000e+02 9.993138391410844035e-01 9.980681729989263617e-01
1.470000000000000000e+02 9.993035522088364875e-01 9.980226454624422372e-01
1.480000000000000000e+02 9.992997235487499630e-01 9.979497463953660441e-01
1.490000000000000000e+02 9.992947094652996354e-01 9.979067101810882301e-01
1.500000000000000000e+02 9.992883289683197612e-01 9.978621043477886587e-01
1.510000000000000000e+02 9.992805012984248281e-01 9.977869394361776889e-01
1.520000000000000000e+02 9.992719396353481054e-01 9.977273179003925963e-01
1.530000000000000000e+02 9.992681437692100266e-01 9.976939021727808665e-01
1.540000000000000000e+02 9.992630760757303943e-01 9.976344402751764484e-01
1.550000000000000000e+02 9.992503065414368724e-01 9.975764401777157397e-01
1.560000000000000000e+02 9.992450369453557135e-01 9.975290521432862434e-01
1.570000000000000000e+02 9.992427313100062936e-01 9.974644530240017737e-01
1.580000000000000000e+02 9.992298802095218591e-01 9.974123427759754579e-01
1.590000000000000000e+02 9.992231594677500883e-01 9.973534094342092482e-01
1.600000000000000000e+02 9.992194462627829177e-01 9.972996045416046007e-01
1.610000000000000000e+02 9.992063033021540974e-01 9.972587238007304400e-01
1.620000000000000000e+02 9.992032407448968589e-01 9.971897997753075282e-01
1.630000000000000000e+02 9.991943339268780644e-01 9.971329665017265587e-01
1.640000000000000000e+02 9.991827874007070953e-01 9.970827635112486931e-01
1.650000000000000000e+02 9.991791753615163474e-01 9.970354944014844234e-01
1.660000000000000000e+02 9.991721247978835319e-01 9.969707272431713729e-01
1.670000000000000000e+02 9.991624783182481151e-01 9.969228538259867767e-01
1.680000000000000000e+02 9.991505234046420547e-01 9.968828689986861669e-01
1.690000000000000000e+02 9.991421817811831918e-01 9.968205846755785471e-01
1.700000000000000000e+02 9.991304973567252112e-01 9.967899849611439045e-01
1.710000000000000000e+02 9.991204452837387784e-01 9.967474302583417822e-01
1.720000000000000000e+02 9.991075030223376396e-01 9.966860213966629578e-01
1.730000000000000000e+02 9.990964977333117725e-01 9.966630796294246863e-01
1.740000000000000000e+02 9.990891538539683481e-01 9.966344089740561962e-01
1.750000000000000000e+02 9.990738423591204453e-01 9.965916519074885516e-01
1.760000000000000000e+02 9.990619536746964124e-01 9.965659613969743980e-01
1.770000000000000000e+02 9.990527837735534433e-01 9.965562452374384650e-01
1.780000000000000000e+02 9.990380424253640923e-01 9.965362955555973068e-01
1.790000000000000000e+02 9.990261809481011390e-01 9.965023078897095044e-01
1.800000000000000000e+02 9.990169664569952257e-01 9.965006135120049180e-01
1.810000000000000000e+02 9.990027628585974595e-01 9.965000379026320854e-01
1.820000000000000000e+02 9.989892655916574604e-01 9.965023194259418071e-01
1.830000000000000000e+02 9.989779059259286109e-01 9.964975395708083328e-01
1.840000000000000000e+02 9.989659448262246944e-01 9.965289419071590160e-01
1.850000000000000000e+02 9.989456913626847401e-01 9.965543491733350745e-01
1.860000000000000000e+02 9.989341982271514597e-01 9.965796601486286432e-01
1.870000000000000000e+02 9.989294518084694818e-01 9.966287204231573105e-01
1.880000000000000000e+02 9.989062220257507452e-01 9.966747115795261402e-01
1.890000000000000000e+02 9.988991121704646758e-01 9.967373253051040605e-01
1.900000000000000000e+02 9.988882760336511568e-01 9.968097767161103739e-01
1.910000000000000000e+02 9.988680397099385377e-01 9.968899407184408368e-01
1.920000000000000000e+02 9.988544710676575678e-01 9.969824399812320381e-01
1.930000000000000000e+02 9.988409484073015321e-01 9.970856000292928067e-01
1.940000000000000000e+02 9.988287716050381349e-01 9.972031570700015113e-01
1.950000000000000000e+02 9.988111590319650457e-01 9.973299457816802160e-01
1.960000000000000000e+02 9.987964420797190712e-01 9.974707568177481054e-01
1.970000000000000000e+02 9.987840226871064209e-01 9.976252957872042693e-01
1.980000000000000000e+02 9.987679049678119814e-01 9.977903970206193351e-01
1.990000000000000000e+02 9.987554276550628662e-01 9.979642633733971646e-01
2.000000000000000000e+02 9.987403521542065343e-01 9.981561319578268199e-01
2.010000000000000000e+02 9.987232147568172458e-01 9.983564278642446110e-01
2.020000000000000000e+02 9.987076107820616055e-01 9.985640487112880104e-01
2.030000000000000000e+02 9.986877326033538615e-01 9.987886950880855430e-01
2.040000000000000000e+02 9.986740830782817602e-01 9.990175983938597293e-01
2.050000000000000000e+02 9.986569809425206445e-01 9.992582340596328772e-01
2.060000000000000000e+02 9.986382182981591304e-01 9.995023183699962566e-01
2.070000000000000000e+02 9.986200348301688123e-01 9.997549808307869545e-01
2.080000000000000000e+02 9.986007248268617964e-01 1.000011389998308076e+00
2.090000000000000000e+02 9.985846428485573023e-01 1.000271654307497204e+00
2.100000000000000000e+02 9.985651264361262713e-01 1.000539371142555645e+00
2.110000000000000000e+02 9.985464884722933254e-01 1.000799408265841128e+00
2.120000000000000000e+02 9.985269666440583780e-01 1.001065554732026852e+00
2.130000000000000000e+02 9.985094641832096274e-01 1.001318204439440862e+00
2.140000000000000000e+02 9.984929462669864808e-01 1.001593996845605128e+00
2.150000000000000000e+02 9.984698087546732825e-01 1.001852251299694574e+00
2.160000000000000000e+02 9.984529310016690973e-01 1.002083790896723725e+00
2.170000000000000000e+02 9.984350842672560233e-01 1.002334545799941745e+00
2.180000000000000000e+02 9.984140787642388215e-01 1.002557484570732127e+00
2.190000000000000000e+02 9.983963456969454642e-01 1.002791514443682086e+00
2.200000000000000000e+02 9.983770934421507537e-01 1.003011695114542912e+00
2.210000000000000000e+02 9.983596479530333356e-01 1.003223650019572588e+00
2.220000000000000000e+02 9.983354109877216054e-01 1.003431537327342582e+00
2.230000000000000000e+02 9.983166794325427640e-01 1.003605118369012894e+00
2.240000000000000000e+02 9.983002890272381080e-01 1.003774987241393912e+00
2.250000000000000000e+02 9.982777192019625101e-01 1.003964167210676051e+00
2.260000000000000000e+02 9.982569743699781784e-01 1.004116656649651329e+00
2.270000000000000000e+02 9.982339751201450007e-01 1.004242747533871771e+00
