# ll                            TT_ab/TT                EE_ab/EE
7.600000000000000000e+01 1.000960163677616199e+00 9.993943995766988442e-01
7.700000000000000000e+01 1.000947351751499736e+00 9.994131518288864591e-01
7.800000000000000000e+01 1.000941980428669220e+00 9.994342975895356140e-01
7.900000000000000000e+01 1.000933117517411208e+00 9.994588644302577762e-01
8.000000000000000000e+01 1.000921347312128784e+00 9.994847333508392051e-01
8.100000000000000000e+01 1.000914305523668890e+00 9.995121262415896934e-01
8.200000000000000000e+01 1.000902920862317691e+00 9.995376020380498661e-01
8.300000000000000000e+01 1.000894137579876109e+00 9.995643785095336131e-01
8.400000000000000000e+01 1.000890598382862651e+00 9.995928446671393797e-01
8.500000000000000000e+01 1.000884907463576612e+00 9.996215937116507133e-01
8.600000000000000000e+01 1.000872620888184183e+00 9.996472746363763706e-01
8.700000000000000000e+01 1.000868383978679610e+00 9.996756932596092549e-01
8.800000000000000000e+01 1.000859952202167724e+00 9.997004988599488273e-01
8.900000000000000000e+01 1.000850763072150817e+00 9.997286134269451896e-01
9.000000000000000000e+01 1.000848814883488869e+00 9.997592884459063356e-01
9.100000000000000000e+01 1.000840503539918824e+00 9.997881588917605367e-01
9.200000000000000000e+01 1.000829665405721602e+00 9.998168071413190416e-01
9.300000000000000000e+01 1.000825614009414277e+00 9.998476217736906868e-01
9.400000000000000000e+01 1.000818152806157268e+00 9.998809313681480404e-01
9.500000000000000000e+01 1.000818481265175475e+00 9.999126698275685454e-01
9.600000000000000000e+01 1.000811355233657940e+00 9.999432652524440357e-01
9.700000000000000000e+01 1.000796380086794057e+00 9.999754653331457410e-01
9.800000000000000000e+01 1.000799126220631274e+00 1.000009167195218263e+00
9.900000000000000000e+01 1.000791857846541566e+00 1.000045557802257568e+00
1.000000000000000000e+02 1.000786321661616629e+00 1.000072350853804082e+00
1.010000000000000000e+02 1.000773656396254818e+00 1.000105963998145331e+00
1.020000000000000000e+02 1.000768306010264785e+00 1.000146413687476032e+00
1.030000000000000000e+02 1.000771665256066090e+00 1.000174086779680671e+00
1.040000000000000000e+02 1.000764675419243854e+00 1.000210334170909210e+00
1.050000000000000000e+02 1.000759113488281615e+00 1.000242792985399864e+00
1.060000000000000000e+02 1.000758809882026146e+00 1.000279080520987129e+00
