# ll				TT_ab/TT 		EE_ab/EE
2.050000000000000000e+02 1.001910991412921614e+00 1.001055464056556099e+00
2.060000000000000000e+02 1.001937688913644875e+00 1.000708154747327994e+00
2.070000000000000000e+02 1.001963562300171473e+00 1.000348639526564831e+00
2.080000000000000000e+02 1.001991038641849352e+00 9.999837930900246086e-01
2.090000000000000000e+02 1.002013921803686536e+00 9.996134611448592722e-01
2.100000000000000000e+02 1.002041691846381699e+00 9.992325249473853477e-01
2.110000000000000000e+02 1.002068211938289988e+00 9.988625162666656676e-01
2.120000000000000000e+02 1.002095989687171507e+00 9.984838145582812796e-01
2.130000000000000000e+02 1.002120894063770251e+00 9.981243174843889010e-01
2.140000000000000000e+02 1.002144397524786790e+00 9.977318904990875037e-01
2.150000000000000000e+02 1.002177320056377496e+00 9.973644183911043459e-01
2.160000000000000000e+02 1.002201335531720749e+00 9.970349590441128784e-01
2.170000000000000000e+02 1.002226729777634162e+00 9.966781581006497470e-01
2.180000000000000000e+02 1.002256618657964227e+00 9.963609369307676600e-01
2.190000000000000000e+02 1.002281851166120896e+00 9.960279341523753383e-01
2.200000000000000000e+02 1.002309245337028143e+00 9.957146375025897056e-01
2.210000000000000000e+02 1.002334068648143450e+00 9.954130453537797241e-01
2.220000000000000000e+02 1.002368555599261413e+00 9.951172410181735595e-01
2.230000000000000000e+02 1.002395208862964626e+00 9.948702513137233083e-01
2.240000000000000000e+02 1.002418530887783987e+00 9.946285436814784608e-01
2.250000000000000000e+02 1.002450645653432781e+00 9.943593581514732493e-01
2.260000000000000000e+02 1.002480163623087783e+00 9.941423798391998412e-01
2.270000000000000000e+02 1.002512889420007713e+00 9.939629642191077918e-01
2.280000000000000000e+02 1.002537388673045538e+00 9.937388957238295628e-01
2.290000000000000000e+02 1.002565767170032318e+00 9.935730616233910961e-01
2.300000000000000000e+02 1.002602553409490449e+00 9.934225148901700830e-01
2.310000000000000000e+02 1.002631902868096558e+00 9.932772394766024027e-01
2.320000000000000000e+02 1.002656659679569850e+00 9.931477445302614449e-01
2.330000000000000000e+02 1.002695139894330456e+00 9.930025570548737246e-01
2.340000000000000000e+02 1.002728076230642307e+00 9.928958124970840293e-01
2.350000000000000000e+02 1.002757854866680676e+00 9.928231682323089835e-01
2.360000000000000000e+02 1.002793564609538945e+00 9.927344867804802631e-01
2.370000000000000000e+02 1.002825876983340248e+00 9.926549848086335670e-01
2.380000000000000000e+02 1.002853612921216220e+00 9.925922428496457561e-01
2.390000000000000000e+02 1.002891117432908707e+00 9.925419112333614402e-01
2.400000000000000000e+02 1.002925824644476993e+00 9.925065265036164819e-01
2.410000000000000000e+02 1.002950245775102722e+00 9.924733705280651685e-01
2.420000000000000000e+02 1.002991092148378449e+00 9.924374928325137013e-01
2.430000000000000000e+02 1.003024357884074513e+00 9.924300512585740863e-01
2.440000000000000000e+02 1.003059514214495573e+00 9.924197188170613693e-01
2.450000000000000000e+02 1.003097494086264918e+00 9.924043240617745898e-01
2.460000000000000000e+02 1.003125575148427373e+00 9.924224990001069280e-01
2.470000000000000000e+02 1.003162481181005372e+00 9.924036250973125028e-01
2.480000000000000000e+02 1.003192338169929698e+00 9.924247919885473834e-01
2.490000000000000000e+02 1.003229179007744110e+00 9.924466778312499571e-01
2.500000000000000000e+02 1.003263525244824317e+00 9.924636355318787739e-01
2.510000000000000000e+02 1.003304710058099181e+00 9.924968720904360220e-01
2.520000000000000000e+02 1.003339804453733164e+00 9.925369256454105171e-01
2.530000000000000000e+02 1.003364458798445824e+00 9.925602445663809226e-01
2.540000000000000000e+02 1.003407004936691882e+00 9.926012375328856496e-01
2.550000000000000000e+02 1.003441078662929531e+00 9.926456719172200849e-01
2.560000000000000000e+02 1.003478019296210055e+00 9.926795131906794856e-01
